Opcode,Flag,ID,Symbol,Price,Avg_Price,Quantity,Tot_Quantity
I,N,100000,A,27.86,,488,,,34:00.0
I,N,10035599,LO,76,,100,,,34:00.0
I,N,10046471,LOW,20.92,,1539,,,34:00.0
I,N,1005973,ANH,7.04,,235,,,34:00.0
I,N,10093149,LPL,15.83,,200,,,34:00.0
I,N,10105949,LPX,7.15,,410,,,34:00.0
I,N,10105950,LPX,7.06,,100,,,34:00.0
I,N,10116879,LQD,109.83,,759,,,34:00.0
I,N,10116880,LQD,109.94,,100,,,34:00.0
I,N,10116881,LQD,109.94,,100,,,34:00.0
I,N,10116882,LQD,109.94,109.83,155,759,0.11,34:00.0
I,N,10116883,LQD,109.94,109.885,101,859,0.055,34:00.0
I,N,10116884,LQD,109.94,109.885,143,859,0.055,34:00.0
I,N,10116885,LQD,109.94,109.903333,147,959,0.036667,34:00.0
I,N,10116886,LQD,109.94,109.9125,379,1114,0.0275,34:00.0
I,N,10116887,LQD,109.94,109.918,180,1215,0.022,34:00.0
I,N,10116888,LQD,109.94,109.921667,112,1358,0.018333,34:00.0
I,N,10116889,LQD,109.94,109.921667,170,1358,0.018333,34:00.0
I,N,10116890,LQD,109.94,109.924286,477,1505,0.015714,34:00.0
I,N,10116891,LQD,109.94,109.927778,126,2064,0.012222,34:00.0
I,N,10116892,LQD,109.94,109.929,100,2176,0.011,34:00.0
I,N,10116893,LQD,109.94,109.93,135,2346,0.01,34:00.0
I,N,10116894,LQD,109.94,109.930833,130,2823,0.009167,34:00.0
I,N,10116895,LQD,109.94,109.931538,178,2949,0.008462,34:00.0
I,N,10116896,LQD,109.94,109.932143,200,3049,0.007857,34:00.0
I,N,10116897,LQD,109.94,109.932667,290,3184,0.007333,34:00.0
I,N,10116898,LQD,109.94,109.933125,818,3314,0.006875,34:00.0
I,N,10116899,LQD,109.94,109.933529,100,3492,0.006471,34:00.0
I,N,10116900,LQD,109.94,109.933889,395,3692,0.006111,34:00.0
I,N,10116901,LQD,109.94,109.934211,156,3982,0.005789,34:00.0
I,N,10116902,LQD,109.94,109.9345,199,4800,0.0055,34:00.0
I,N,10116903,LQD,109.94,109.934762,627,4900,0.005238,34:00.0
I,N,10116904,LQD,109.94,109.935,142,5295,0.005,34:00.0
I,N,10116905,LQD,109.94,109.935217,1000,5451,0.004783,34:00.0
I,N,10116906,LQD,109.94,109.935417,636,5650,0.004583,34:00.0
I,N,10116907,LQD,109.94,109.9356,370,6277,0.0044,34:00.0
I,N,10116908,LQD,109.94,109.935769,151,6419,0.004231,34:00.0
I,N,10116909,LQD,109.94,109.935926,145,7419,0.004074,34:00.0
I,N,10116910,LQD,109.94,109.936071,100,8055,0.003929,34:00.0
I,N,10116911,LQD,109.94,109.936207,206,8425,0.003793,34:00.0
